"codigo","tipo","quantidade_teorica","participacao_percentual","quantidade_teorica_total","quantidade_teorica_acao","participacao_percentual_acao","quantidade_dias_ultima_data_referencia","data_referencia","acao"
"ELET3","ON N1","1977170723","3.833","98454079581","2246046419","4.403999924659729","0","2025-03-09","ELETROBRAS"
"ELET6","PNB N1","268875696","0.571","98454079581","2246046419","4.403999924659729","0","2025-03-09","ELETROBRAS"
"PSSA3","ON NM","182560698","0.342","98454079581","182560698","0.34200000762939453","0","2025-03-09","PORTO SEGURO"
"CSAN3","ON NM","1150987430","0.416","98454079581","1150987430","0.41600000858306885","0","2025-03-09","COSAN"
"CXSE3","ON NM","517500000","0.411","98454079581","517500000","0.41100001335144043","0","2025-03-09","CAIXA SEGURI"
"GGBR4","PN ED N1","1242683687","1.048","98454079581","1242683687","1.0479999780654907","0","2025-03-09","GERDAU"
"VIVA3","ON NM","125446075","0.111","98454079581","125446075","0.11100000143051147","0","2025-03-09","VIVARA S.A."
"CMIG4","PN N1","1858636840","1.05","98454079581","1858636840","1.0499999523162842","0","2025-03-09","CEMIG"
"PCAR3","ON NM","462534972","0.058","98454079581","462534972","0.057999998331069946","0","2025-03-09","P.ACUCAR-CBD"
"BRAP4","PN N1","250969312","0.214","98454079581","250969312","0.21400000154972076","0","2025-03-09","BRADESPAR"
"CPLE6","PNB N2","1679233590","0.828","98454079581","1679233590","0.828000009059906","0","2025-03-09","COPEL"
"SUZB3","ON NM","630821784","1.737","98454079581","630821784","1.7369999885559082","0","2025-03-09","SUZANO S.A."
"UGPA3","ON ED NM","1090134379","0.866","98454079581","1090134379","0.8659999966621399","0","2025-03-09","ULTRAPAR"
"BPAC11","UNT N2","1287247964","2.168","98933369823","1287247964","2.1679999828338623","10","2025-03-19","BTGP BANCO"
"FLRY3","ON NM","455988366","0.251","98933369823","455988366","0.25099998712539673","10","2025-03-19","FLEURY"
"KLBN11","UNT N2","765785673","0.721","98933369823","765785673","0.7210000157356262","10","2025-03-19","KLABIN S%2FA"
